what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.add.import",1315394794640
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.add.import",1315394794765
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1315394795546
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1315394797171
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1315394797218
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1315394797859
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1315394798625
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1315394798625
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1315394798703
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1315394807390
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1315394809000
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1315394809703
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.format",1315394810437
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1315394811859
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1315394811921
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1315394814062
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1315394814187
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1315394815031
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1315394822015
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1315394822812
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1315394822968
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.lineEnd",1315394829859
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.cut",1315394830765
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1315394832453
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.cut",1315394833625
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1315394834828
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1315394837671
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.format",1315394839812
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1315394843937
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1315394844953
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1315394849718
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1315394851515
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1315394851515
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1315394851578
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1315394857250
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1315394858718
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1315394859703
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1315394862109
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.format",1315394862765
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1315394864109
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1315394864109
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1315394864156
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1315394865265
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1315394866421
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1315394868359
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.format",1315394871406
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1315394872140
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1315394873750
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1315394875250
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1315394875890
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1315395010343
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1315395011781
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1315395013953
error,log,,,"Failed to load properties file for project 'DialogTest'",1315395030015
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1315395030156
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1315395039812
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1315395039843
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1315395039890
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1315395045921
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1315395056203
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1315395057781
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1315395091593
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1315395092609
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1315395092609
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1315395092656
