what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.add.import",1315377569546
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.add.import",1315377569671
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.add.import",1315377569828
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1315377580468
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1315377586171
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.format",1315377595562
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1315377596203
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1315377600390
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1315377600390
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1315377600437
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1315377605937
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1315377609453
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1315377610187
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1315377613359
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1315377613875
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1315377617546
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.format",1315377618359
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1315377619093
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.format",1315377621093
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1315377647046
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.showInformation",1315377647046
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1315377648328
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1315377649187
